icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,velocity,true_track,vertical_rate,geo_altitude,squawk,spi
e49408,PTGCR,Brazil,2025-04-26 20:43:34,2025-04-26 20:43:43,-58.9873,12.6823,19975.9748,366.269,128.9,2688.971,21076.0285,,False
ac96b8,AAL1415,United States,2025-04-26 20:48:50,2025-04-26 20:48:50,-109.2832,39.3469,35001.708,459.445,126.77,0.0,35626.7385,4120,False
ad4f1c,ERU957,United States,2025-04-26 20:48:51,2025-04-26 20:48:51,-81.1548,29.3627,2875.1403,101.5157,304.16,0.0,2975.1452,,False
aa56db,UAL2439,United States,2025-04-26 20:48:50,2025-04-26 20:48:50,-92.0564,33.9251,37001.8056,463.0219,39.74,0.0,38401.8739,2442,False
7c6b2f,JST295,Australia,2025-04-26 20:48:50,2025-04-26 20:48:50,174.0326,-38.5078,30576.4921,457.987,206.17,1535.43,31476.536,,False
39de4a,TVF8152,France,2025-04-26 20:48:50,2025-04-26 20:48:50,8.4364,38.5585,39001.9032,464.4605,149.46,64.9605,39676.9361,7640,False
7c6b2d,JST677,Australia,2025-04-26 20:48:50,2025-04-26 20:48:50,144.765,-37.2917,5625.2745,273.0348,167.95,-1088.5805,5900.2879,1044,False
408124,EXS11MG,United Kingdom,2025-04-26 20:48:50,2025-04-26 20:48:50,30.2385,35.6999,34001.6592,419.1264,304.11,0.0,34601.6885,,False
39de4d,TVF73AW,France,2025-04-26 20:48:50,2025-04-26 20:48:50,2.3234,48.7223,100.0049,127.5458,61.43,-448.818,475.0232,2257,False
ade18c,AAL2141,United States,2025-04-26 20:48:50,2025-04-26 20:48:50,-81.0251,29.819,29001.4152,455.0321,191.41,0.0,30201.4738,1570,False
7c6b2b,JST500,Australia,2025-04-26 20:48:50,2025-04-26 20:48:50,149.1955,-34.8641,36976.8044,398.4811,52.24,-192.913,37826.8459,3622,False
a77ec5,EJA582,United States,2025-04-26 20:48:38,2025-04-26 20:48:50,-74.8961,39.3668,2150.1049,127.021,269.55,192.913,1975.0964,6771,False
abd9d9,SWA2746,United States,2025-04-26 20:48:51,2025-04-26 20:48:51,-109.6542,32.6768,37001.8056,504.0209,105.77,-64.9605,38051.8568,2657,False
